urn,name,address1,address2,town,postcode,p8mea
101940,Greenford High School,Lady Margaret Road,,Southall,UB1 2GU,0.37
101943,Islip Manor High School,Eastcote Lane,,Northolt,UB5 4HP,-0.24
137546,Twyford Church of England High School,Twyford Crescent,,London,W3 9PP,1.08
101928,Villiers High School,Boyd Avenue,,Southall,UB1 3BT,0.5
139725,William Perkin Church of England High School,Oldfield Lane North,,Greenford,UB6 8PR,0.87
147536,AIM Academy North London,34 Turin Road,,London,N9 8DQ,0.36
139815,Ark John Keats Academy,Bell Lane,,London,EN3 5PA,0.24
136147,Aylward Academy,Windmill Road,Enfield,London,N18 1NB,-0.28
102052,Bishop Stopford's School,Brick Lane,,Enfield,EN1 3PU,-0.54
102049,Chace Community School,Churchbury Lane,,Enfield,EN1 3HQ,-0.6
143197,Edmonton County School,Little Bury Street,Edmonton,London,N9 9JZ,0.23
102048,Enfield County School for Girls,Holly Walk,,Enfield,EN2 6QG,0.38
137094,Enfield Grammar School,Market Place,,Enfield,EN2 6LN,-0.05
139599,Heron Hall Academy,Queensway,,Enfield,EN3 4SA,0.17
132256,Highlands School,148 Worlds End Lane,,London,N21 1QQ,0.42
136327,Kingsmead School,196 Southbury Road,,Enfield,EN1 1YQ,0.27
102055,The Latymer School,Haselbury Road,,London,N9 9TN,0.74
102056,Laurel Park School,Wilmer Way,,London,N14 7HY,-0.37
144084,The Lea Valley Academy,Bullsmoor Lane,,Enfield,EN3 6TW,-0.68
134311,Oasis Academy Enfield,Kinetic Crescent,Innova Park,Enfield,EN3 7XH,-0.17
135958,Oasis Academy Hadley,143 South Street,,Enfield,EN3 4PX,0.25
102053,St Anne's Catholic High School for Girls,Oakthorpe Road,Palmers Green,London,N13 5TY,0.65
102058,St Ignatius College,Turkey Street,,Enfield,EN1 4NP,0.85
142727,Southgate School,Sussex Way,Cockfosters,Barnet,EN4 0BL,0.37
102045,Winchmore School,Laburnum Grove,Winchmore Hill,London,N21 3HS,0.13
137531,Alexandra Park School,Bidwell Gardens,,London,N11 2AZ,0.81
144900,Duke's Aldridge,Trulock Road,Tottenham,London,N17 0PG,-0.06
102156,Fortismere School,Southwing,Tetherdown,London,N10 1NE,0.49
102157,Gladesmore Community School,Crowland Road,Tottenham,London,N15 6EB,-0.02
133386,Greig City Academy,High Street,Hornsey,London,N8 7NU,0.47
140935,Harris Academy Tottenham,Ashley Road,Tottenham,London,N17 9LN,0.66
139616,Heartlands High School,Station Road,Wood Green,London,N22 7ST,0.37
102154,Highgate Wood Secondary School,Montenotte Road,,London,N8 8RN,0.26
102153,Hornsey School for Girls,Inderwick Road,,London,N8 9JF,0.38
137745,Mulberry Academy Woodside,White Hart Lane,Wood Green,London,N22 5QJ,0.17
131757,Park View School,252 West Green Road,Tottenham,London,N15 3QR,0.01
139362,St Thomas More Catholic School,Glendale Avenue,Wood Green,London,N22 5HN,0.46
138227,Avanti House School,Wemborough Road,,Stanmore,HA7 2EQ,1.1
137178,Bentley Wood High School,Clamp Hill,,Stanmore,HA7 3JW,0.9
137199,Canons High School,Shaldon Road,,Edgware,HA8 6AN,-0.07
137177,Harrow High School,Gayton Road,,Harrow,HA1 2JG,0.62
137204,Hatch End High School,Headstone Lane,,Harrow,HA3 6NR,-0.03
137028,Nower Hill High School,George V Avenue,,Pinner,HA5 5RP,0.62
137075,Park High School,Thistlecroft Gardens,,Stanmore,HA7 1PL,0.17
142864,Pinner High School,Beaulieu Drive,,Pinner,HA5 1NB,0.71
137198,Rooks Heath School,Eastcote Lane,South Harrow,Harrow,HA2 9AH,0.32
146245,The Sacred Heart Language College,High Street,Wealdstone,Harrow,HA3 7AY,0.56
138458,Salvatorian Roman Catholic College,High Road,Harrow Weald,Harrow,HA3 5DY,0.45
141071,Whitefriars School,Whitefriars Avenue,Wealdstone,Harrow,HA3 5RQ,-0.1
102239,Whitmore High School,Porlock Avenue,,Harrow,HA2 0AD,0.75
136663,Abbs Cross Academy and Arts College,Abbs Cross Lane,,Hornchurch,RM12 4YB,-0.24
139307,Bower Park Academy,Havering Road,,Romford,RM1 4YY,-0.54
136576,The Brittons Academy,Ford Lane,,Rainham,RM13 7BB,-0.28
137040,The Campion School,Wingletye Lane,,Hornchurch,RM11 3BX,0.6
136600,The Coopers' Company and Coborn School,St Mary's Lane,,Upminster,RM14 3HS,0.45
136090,Drapers' Academy,Settle Road,Harold Hill,Romford,RM3 9XR,-0.13
137414,Emerson Park Academy,Wych Elm Road,,Hornchurch,RM11 3AD,-0.24
138326,The Frances Bardsley Academy for Girls,Brentwood Road,,Romford,RM1 2RR,0.39
144095,Gaynes School,Brackendale Gardens,,Upminster,RM14 3UX,0.24
137197,Hall Mead School,Marlborough Gardens,,Upminster,RM14 1SF,0.35
143428,Harris Academy Rainham,Lambs Lane South,,Rainham,RM13 9XD,0.56
143946,Hornchurch High School,Broadstone Road,,Hornchurch,RM12 4AJ,0.32
